panel,model,probability,decile,mean_predicted,observed_fraction,threshold,net_benefit_raw,net_benefit_platt,treat_all,treat_none
b_decision_curve,RandomForest,,,,,0.36,-0.03056585451977405,0.015713276836158183,-0.347325211864407,0.0
b_decision_curve,RandomForest,,,,,0.37,-0.029167787642363927,0.01321630347054076,-0.36871132633844506,0.0
b_decision_curve,RandomForest,,,,,0.38,-0.02847639876070712,0.01223346090759978,-0.3907873154729361,0.0
b_decision_curve,RandomForest,,,,,0.39,-0.028208067055663626,0.012613457441882003,-0.4135871075298695,0.0
b_decision_curve,RandomForest,,,,,0.4,-0.03283898305084748,0.011652542372881356,-0.43714689265536744,0.0
b_decision_curve,RandomForest,,,,,0.41,-0.035717705640141754,0.011233601455520438,-0.4615053145647804,0.0
b_decision_curve,RandomForest,,,,,0.42,-0.03604130138320673,0.012200467562828754,-0.48670368205727665,0.0
b_decision_curve,RandomForest,,,,,0.43,-0.035645257210823636,0.012854346317771834,-0.5127862027951233,0.0
b_decision_curve,RandomForest,,,,,0.44,-0.038034705407586744,0.011879539951573854,-0.5398002421307506,0.0
b_decision_curve,RandomForest,,,,,0.45,-0.037172573189522336,0.010721623009758605,-0.5677966101694916,0.0
b_decision_curve,RandomForest,,,,,0.46,-0.03426449047917973,0.010057020297133292,-0.5968298807281859,0.0
b_decision_curve,RandomForest,,,,,0.47,-0.037282805671037214,0.007695075151902782,-0.6269587464023025,0.0
b_decision_curve,RandomForest,,,,,0.48,-0.03688613646240765,0.007496740547588004,-0.6582464146023469,0.0
b_decision_curve,RandomForest,,,,,0.49,-0.03840561648388168,0.006300542815996455,-0.690761050182785,0.0
b_decision_curve,RandomForest,,,,,0.5,-0.037782485875706213,0.006709039548022599,-0.7245762711864407,0.0
b_decision_curve,RandomForest,,,,,0.51,-0.03884901418194396,0.005073215726968754,-0.7597717052922864,0.0
b_decision_curve,RandomForest,,,,,0.52,-0.03845927495291903,0.0017361111111111104,-0.7964336158192091,0.0
b_decision_curve,RandomForest,,,,,0.53,-0.036279901430460414,0.0021336699122490683,-0.8346556076451499,0.0
b_decision_curve,RandomForest,,,,,0.54,-0.03474269221321544,0.0010439695406534006,-0.874539425202653,0.0
b_decision_curve,RandomForest,,,,,0.55,-0.032956685499058405,0.0014908976773383537,-0.9161958568738233,0.0
b_decision_curve,RandomForest,,,,,0.56,-0.029661016949152554,0.00041730868002054126,-0.9597457627118646,0.0
b_decision_curve,RandomForest,,,,,0.57,-0.02932433320194457,-0.0005255551175929597,-1.005321245565629,0.0
b_decision_curve,RandomForest,,,,,0.58,-0.031006187785848828,-2.5089785867235176e-18,-1.0530669895076679,0.0
b_decision_curve,RandomForest,,,,,0.59,-0.026491663221716946,0.0007406641863028813,-1.1031417941298058,0.0
b_decision_curve,XGBoost,,,,,0.01,0.12900188323917136,0.12900188323917136,0.12900188323917136,0.0
b_decision_curve,XGBoost,,,,,0.02,0.12011414735385681,0.12138965755793843,0.12011414735385678,0.0
b_decision_curve,XGBoost,,,,,0.03,0.11104315918224707,0.11377337060982003,0.11104315918224707,0.0
b_decision_curve,XGBoost,,,,,0.04,0.10187146892655367,0.1074181967984934,0.10178319209039546,0.0
b_decision_curve,XGBoost,,,,,0.05,0.0926256318763009,0.10057983942908119,0.09232827832292595,0.0
b_decision_curve,XGBoost,,,,,0.06,0.08359628561125135,0.09427214809472292,0.08267219617742516,0.0
b_decision_curve,XGBoost,,,,,0.07,0.07434997873762227,0.08998921693700263,0.07280845635137598,0.0
b_decision_curve,XGBoost,,,,,0.08,0.06580078604765413,0.08614283959715058,0.06273028739867353,0.0
b_decision_curve,XGBoost,,,,,0.09,0.05697057180108028,0.08150959210281244,0.052430620227230385,0.0
b_decision_curve,XGBoost,,,,,0.1,0.04892498430634024,0.07784055241682361,0.041902071563088505,0.0
b_decision_curve,XGBoost,,,,,0.11,0.04065098711356567,0.07251793309210944,0.031136926299752413,0.0
b_decision_curve,XGBoost,,,,,0.12,0.03227722136620442,0.06933744221879816,0.020127118644067785,0.0
